能力	DSH出处包	要不要	落在哪个Go包	缺口说明
浏览器表层组合包，挂载Web宿主行、客户端插件、前端dist服务和web-runtime粘合，支持浏览器打开与URL打印	bundle/web-app	取形重写	（未落地）	不缺：里面挂的 webserver／web-runtime 全判了不需要
协议消费层，挂载ctx.connection并管理客户端与主机间的HTTP/WebSocket通信	client/connection	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
为通过脚本加载的客户端插件提供热重载	client/hmr	不需要	—	缺前置：浏览器运行时与前端构建链
偏好设置以locale.preference存储，支持中英文切换及本地化文案注册	client/locale	不需要	—	缺前置：浏览器 navigator 与桌面 UI 设置文件
浏览器端ESM loader实现，管理插件bundle的懒加载和依赖解析	client/modules	不需要	—	缺前置：浏览器 ESM 模块加载器
**上游已删。**客户端cordis启动与对象服务，拥有Session/Workspace列表和运行时投影	client/runtime	不需要	—	缺前置：浏览器运行时。且上游已删，拆成 client/store＋client/ui-session，两个仍在浏览器侧
不依赖 React 的浏览器 observable 与 snapshot store，负责同步与 animation-frame 发布、基于 Immer 的更新、浅比较与可选浏览器持久化	client/store	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
agent preset的各表层，包括选择、标签、管理分区和复制对话框	client/ui-agent-preset	不需要	—	缺前置：本机文件系统、桌面 UI 宿主
浏览器审批界面，按 Agent 作用域发布每个待处理权限请求、接管 Conversation composer、渲染关联工具详情，并把用户决定回送等待中的 Host 请求	client/ui-approval	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
对话UI的附件呈现，支持输入框草稿图片栏、拖放和灯箱	client/ui-attachment	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
仅当构建为official时填充sidebar.brand和conversation.hero.brand	client/ui-brand-official	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
浏览器 Chat target，渲染 transcript 节点与详情、历史图片、操作、本地化与滚动位置恢复，并直接折叠打包的 assistant 历史 run	client/ui-chat	不需要	llm	服务端替代实现见 llm；缺前置：浏览器运行时（DOM／ESM／React）
客户端命令API，提供/命令source与派发，支持popupSelect和带参claim	client/ui-commands	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
会话领域骨架、聊天视图、编辑器与输入区，支持压缩、消息、待处理交互	client/ui-conversation	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
产出文件与可点击文件引用属主	client/ui-deliverables	不需要	—	缺前置：本机文件系统、浏览器运行时（DOM／ESM／React）
应用内目录浏览界面，提供浏览式选取交互	client/ui-directory-picker-browse	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
原生目录选择界面，调用Host操作系统选择框	client/ui-directory-picker-native	不需要	—	缺前置：起本机子进程的能力、桌面 UI 宿主
Goal界面插件，条带与投影goal状态	client/ui-goal	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
输入触发流水线，支持/与@检测、分组菜单和pick路由	client/ui-input-trigger	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
Web后台任务展示，列出运行中和已完成的任务	client/ui-jobs	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
外壳插件，提供三栏AppFrame和主题呈现器	client/ui-layout	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
单条消息反馈插件，提供Like/Dislike和备注	client/ui-message-feedback	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
模型选择插件，两个入口共用会话级目录	client/ui-model-selection	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
权限界面，包括设置行和/permission命令装饰	client/ui-permission-presets	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
Plan mode状态徽章和控制插件	client/ui-plan	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
纯React原子组件，包括按钮、菜单、Toast、Markdown和终端卡片	client/ui-primitives	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
统一的Web@file与@session source	client/ui-reference	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
负责React渲染层，安装slot渲染器并hydrate启动DOM	client/ui-renderer	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
会话头部的活动 Schedule 提醒只读目录，读完整 schedule 投影，不发 RPC 也不做 mutation	client/ui-schedule	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
Session Controller 状态的 React 与 Slot adapter，在 root scope 提供 Session 列表与待处理交互 hook、物化逐会话 hook 与 prop，不接管 transport 或生命周期	client/ui-session	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
设置领域底座，提供ctx.settingsScope和slot声明	client/ui-settings	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
设置外壳、无特定功能文案与引导namespace	client/ui-settings-general	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
模型设置与产品引导插件，提供Models页面和首次运行步骤	client/ui-settings-models	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
Web设置中的只读插件列表标签页	client/ui-settings-plugin-inventory	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
插件设置分区及其配置标签页，为用户插件展示可编辑卡片	client/ui-settings-plugins	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
侧边栏外壳插件，负责品牌行、New Session操作和Settings seat	client/ui-sidebar	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
skill调用source的浏览器端，支持/name触发和工具行展示	client/ui-skill	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
Slot注册表纯核心，提供SlotCore和四share组件props类型	client/ui-slots	不需要	—	缺前置：cordis 组件系统（Slot 注册表、declaration epoch）
Web subagent功能属主，提供页头谱系导航和编辑器行为	client/ui-subagent	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
主题插件，基于--dsw-token的实时主题与持久化偏好	client/ui-theme	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
Client工具展示插件，渲染root和子调用的keyed slot分发	client/ui-tool	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
Trajectory渲染按轮次组织的事件记录表	client/ui-trajectory	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
Web提问功能插件，渲染问题卡片和答案选择	client/ui-user-questions	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
将持久化顶层工作流运行重建为独立Chat节点	client/ui-workflow-run	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
共享Workspace浏览器与选择器插件，支持添加、重命名、搜索	client/ui-workspace	不需要	—	缺前置：本机文件系统、浏览器运行时（DOM／ESM／React）
Web启动内核，分两阶段挂载客户端	client/web	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
代码运行时 Service Definition，定义异步绑定执行模型编写的程序	code-runtime/code-runtime	不需要	—	缺前置：无
CPython 子进程代码运行时实现，通过 fd 3 JSON-lines 协议交互	code-runtime/code-runtime-python	不需要	—	缺前置：起本机子进程的能力
Node worker 线程代码运行时实现，支持 TypeScript 并提供隔离与预算	code-runtime/code-runtime-worker-thread	不需要	—	缺前置：单进程独占（本仓库要多实例并发）
通过/compact命令提供面向用户的手动压缩控制	compaction/command-compact	需要	feature/compaction/compactcommand	
Service Definition定义压缩做什么，判定历史过大并摘要为单个表层节点	compaction/compaction	需要	feature/compaction	
基础压缩后端，使用token压力和摘要器实现压缩	compaction/compaction-basic	需要	feature/compaction/basic	
不依赖模型的工具结果剪枝服务，改写超大结果为头部加尾部	compaction/compaction-tool-result-pruner	需要	feature/compaction/toolresultpruner	
为会话加载工作区指令文件（AGENTS.md/CLAUDE.md），在第一步或文件变更时注入	context/agent-instructions	需要	feature/context/instructions	
文件引用发现seam和@file语法，为UI提供文件补全	context/file-reference	不需要	—	缺前置：模型可访问的工作区文件系统（tool-fs 不装）
ctx.fileReferences的本地文件系统实现，为每个agent维护有界的工作区索引	context/file-reference-local	不需要	—	缺前置：本机文件系统
把其他会话作为有界只读快照供模型消费的跨会话上下文	context/session-reference	需要	feature/context/sessionref	
可选的持久上下文，包含当前时间、浏览器时区和经过时长	context/time-context	需要	feature/context/timecontext	
可选的持久上下文，记录agent进程所在的tmux session/window/pane及布局	context/tmux-context	不需要	—	缺前置：交互式 TTY
定义agent接口、注册表和事件词汇，驱动程序消费方面向此处定义的Agent编程	core/agent	需要	harness/agent	
为新建agent提供部署级的默认模型选择	core/agent-default-model	需要	harness/agentdefaultmodel	
agent唯一具体实现和循环驱动器，驱动会话、轮次和步骤的生命周期	core/agent-loop	需要	harness/agentloop tools	
声明模型看到的工具呈现方式（native/code/both）	core/agent-tool-presentation	不需要	—	缺前置：code 呈现模式要的 codeRuntime（已判不要）。只剩 native 一个取值，而 native 本来就是默认
带作用域的注册原语，为每个存活agent创建一个作用域	core/scope	需要	scope	
事件溯源的会话日志和内存存储，为agent保留全部交互历史	core/session	需要	harness/session sessionlog	
系统提示词组装注册表，按作用域收集段落、工具schema和变量	core/system-prompt	需要	harness/systemprompt	
工具注册表与执行流水线，定义工具schema、执行和呈现方式	core/tools	需要	tools	
授权Service Definition，拥有凭据对话及生命周期	credentials/authorization	取形重写	feature/authorization	缺口已补：新包 feature/authorization。三个接缝（Flow / Interaction / Request）取 DSH 的形状，状态落 storage/domain——一次尝试是介质上一条记录，进程没了第二天能接着走。单飞由记录键（就是凭据键）的条件写保证，跨副本有效；接手是重跑 Flow.Run，由流程自己读回上一次留下的脚印
凭据Service Definition，配置引用与授权记录分离存储	credentials/credentials	需要	credentials	
文件型凭据提供方，四层来源优先级	credentials/credentials-local	不需要	—	缺前置：本机文件系统
为 agent 提供远程 Linux 沙箱执行环境，托管文件系统与进程生命周期	e2b/e2b	不需要	—	缺前置：起本机子进程的能力、桌面 UI 宿主、浏览器运行时（DOM／ESM／React）
实现在 E2B 沙箱上运行的文件系统操作适配器	e2b/fs-e2b	不需要	—	缺前置：起本机子进程的能力
在 E2B 沙箱中执行子进程和 PTY 的提供方	e2b/subprocess-e2b	不需要	—	缺前置：起本机子进程的能力
**上游已删。**通过 JSON-RPC stdio 提供 ACP 自动化服务器应用，支持会话管理和语义检查点	examples/acp-demo	取形重写	harness	上游已删，换成 bundle/acp-app 的 patch 清单。价值在装配顺序，不在代码
**上游已删。**最小 agent 主干组合包，包含 LLM、会话、提示词、工具、skill、loop 等固定服务集	examples/agent-spine-demo	取形重写	harness	上游已删，换成 bundle/base 与 bundle/sdk-minimal。价值在装配顺序，不在代码
**上游已删。**只包含 bin 的应用，通过 JSON-RPC stdio 为 SDK 客户端启动外部 cordis.yml 配置	examples/jsonrpc-demo	取形重写	harness	上游已删，换成 bundle/sdk-app 的 patch 清单。价值在装配顺序，不在代码
隐式Root Agent Teams领域，维护Lead/teammate roster、持久peer mailbox与共享任务DAG	experimental/agent-team	需要	feature/agentteam	DSH 的 activity.ts 是一张进程内等待者名单，多副本下等不到别的副本上那次改动，所以 agentteam.Service.Wait 落成介质上的条件轮询：只承诺看得见本次调用之后的改动，看不见就到点返回 timedOut。
在 base 之上启用 Agent Teams 的私有 profile 层，插入 Team domain 与 Team 作用域工具，禁用名称重叠的全局 continuable-child 控制项，保留一次性 delegation	experimental/agent-team-profile	不需要	—	缺前置：单进程独占（本仓库要多实例并发）
Agent Teams 的私有 Web 层，在浏览器显示 Team roster、任务板与 teammate 导航	experimental/agent-team-web-profile	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）、单进程独占（本仓库要多实例并发）
Web 会话页头的 Agent Teams 面板，检查当前 roster、管理共享任务板并导航到 teammate 会话	experimental/client-ui-agent-team	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
把运行中的 Host 与浏览器 Client 接进 Chrome DevTools，提供双侧 Console context、Host Sources 与调试、fetch 采集、共享 Cordis 树与独立于 CDP 的查询 API	experimental/inspector	不需要	—	缺前置：起本机子进程的能力、桌面 UI 宿主
ctx.agentTeams的scoped模型适配器，在每个隐式Lead和持久teammate scope安装协作工具	experimental/tool-agent-team	取形重写	feature/agentteam/agentteamtool	十件工具连同那段团队策略指引都已落地。团队身份不再现问成员表，改由装配方在 Config.Team 上写死，一个控制器服务一支团队。
VFS 镜像打包器，把一份合成 profile 变成浏览器 worker 可挂载的 gzip 基础 tar，并把数据目录变成按序应用的 overlay tar	experimental/webworker-packer	不需要	—	缺前置：本机文件系统
浏览器 worker 宿主，整棵 harness 插件树跑在一个 dedicated Web Worker 里，边下载边解压 VFS 镜像挂进内存，经 postMessage HTTP 隧道服务页面	experimental/webworker-runtime	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
动态双半插件的浏览器半执行器，负责评估浏览器端闭包源码、装载为活插件、处理运行编排与RPC回调	extensions/cordis-client-runner	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
动态包在host侧的注册表与沙箱执行器，管理定义生命周期、vm求值、浏览器调度与invoke路由	extensions/cordis-host-runner	不需要	—	缺前置：起本机子进程的能力
五个面向模型的自引用工具（cordis_inspect/define/run/stop/undefine），操作当前DSH进程中的实时Cordis运行时	extensions/tool-cordis	不需要	—	缺前置：起本机子进程的能力
Cordis动态插件浏览器界面，全局浮窗面板显示所有定义及其运行控件，记录model调用的define卡片	extensions/ui-cordis	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
会话反馈采集与面向用户的/feedback命令，记录feedback/record事件并披露会话共享状态	feedback/command-feedback	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
单条assistant消息反馈存储，提供可编辑rating/note的伴随记录与compare-and-set操作	feedback/message-feedback	不需要	—	缺前置：本机文件系统
定义执行世界的存储原语，抽象路径解析、读取、流式读取、列出、原子写入和字面量编辑操作	fs/fs	需要	fs fs/fstest	
实现本地文件系统的文件系统接口，支持宿主文件系统的十二个存储原语	fs/fs-local	不需要	—	缺前置：本机文件系统
记录已观察状态，为写入编辑添加防护并通过事件门禁参与文件系统策略	fs/fs-observation-policy	不需要	—	缺前置：模型直读文件的通道（tool-fs 不装，没有可观察的东西）
强制沙箱围栏的文件系统后端，按调用策略限制写入操作	fs/fs-sandbox	不需要	—	缺前置：本机文件系统、交互式 TTY
面向模型的文件系统工具（read、read_image、write、edit），通过事件门禁支持读取窗口和策略	fs/tool-fs	不需要	—	缺前置：本机文件系统
基于 ripgrep 的文件发现工具（glob、grep），通过 subprocess 执行	fs/tool-fs-search	不需要	—	缺前置：起本机子进程的能力
基于文件系统的编辑器工具（view、create、str_replace、insert），面向模型	fs/tool-str-replace-editor	不需要	—	缺前置：本机文件系统
面向用户的/goal控制，基于ctx.goals实现，提供状态展示和create/edit/pause/resume/clear命令	goal/command-goal	需要	feature/goal/goalcommand	
事件溯源的同会话目标状态，维持当前待完成目标和续行权限	goal/goal	需要	feature/goal feature/goal/goaltool	
ctx.goals的同会话续行驱动器，把phase为active且已启用续行的目标转换为连续Goal Round	goal/goal-round-driver	需要	feature/goal/goalrounddriver	
ctx.goals的面向模型控制API：get_goal、create_goal和update_goal	goal/tool-goal	需要	feature/goal/goaltool	
循环中断器，监视连续重复工具调用并注入逐级增强的提醒	guard/repeat-tool-reminder	需要	feature/guard/repeattoolreminder	
工具调用超时强制执行器，读取工具声明的timeoutMs并在超时时返回TOOL_TIMEOUT	guard/timeout-policy	需要	feature/guard/timeoutpolicy	
hook协议格式的共享核心库，提供方言无关原语（matcher、codec、hook执行、输出合并、会话事件）	hooks/hook-protocol	不需要	—	缺前置：本机 shell 执行器（shell/* 全族出局）。方言只有 claude-code／codex 两种取值，也没有消费方
Claude Code hook配置的方言桥接，在规范拦截点上运行CC command hook子集	hooks/hooks-claude-code	不需要	—	缺前置：起本机子进程的能力
Codex hook配置的方言桥接，在规范拦截点上运行Codex 5项hook点的支持子集	hooks/hooks-codex	不需要	—	缺前置：起本机子进程的能力
**上游已删。**提供共用API网关协议与HTTP载体，使客户端与服务器间通过JSON-RPC模式通信，处理会话请求/响应、流式事件、文件导出等	host/apiproxy	取形重写	（未落地）	上游已删，裁决已并入 api/ 底下三个控制器，缺口同那三条
定义目录选择能力接缝，为web宿主抽象原生OS选择器与应用内浏览两种交互方式	host/directory-picker	不需要	—	缺前置：本机目录（服务端无磁盘）
启动时自适应判定宿主处境并挂载匹配的目录选择后端（原生或浏览）	host/directory-picker-auto	不需要	—	缺前置：桌面 UI 宿主、浏览器运行时（DOM／ESM／React）
应用内浏览目录选择后端，提供跨平台的单层目录列举、创建与面包屑导航交互	host/directory-picker-browse	不需要	—	缺前置：本机目录（服务端无磁盘）
原生OS选择器后端，打开平台对话框让用户选择目录，支持macOS/Windows/Linux	host/directory-picker-native	不需要	—	缺前置：桌面 UI 宿主
Web壳的SPA静态文件服务器，通过显式index入口返回构建好的前端dist，占据webserver回退席位	host/frontend-static	不需要	—	缺前置：浏览器运行时（DOM／ESM／React）
当前Cordis Loader树的只读投影，直接读取Loader条目并通过Remote发布清单视图	host/plugin-inventory	不需要	—	缺前置：cordis 插件容器
Web HTTP与upgrade route注册插件，启动node:http服务器并管理具名路由表，提供fallback处理器席位	host/webserver	不需要	—	缺前置：起本机子进程的能力
遥测、反馈确认与DeepSeek提供方共用的匿名身份，按harness home生成UUID v4并持久化	identity/anonymous-user-id	不需要	—	缺前置：本机家目录持久化身份文件。且遥测身份不属运行时职责
由插件注册的用户命令注册表，供交互式UI适配器使用	interaction/commands	需要	feature/interaction/commands	
通过ctx.permissionPresets提供面向用户的权限预设组合沙箱与审批	interaction/permission-presets	需要	feature/interaction/permissionpresets	缺一角：捆包里只剩审批策略一个旋钮。沙箱那一整支（sandbox/*、shell/*-sandbox）本仓库判为不需要，DSH 那两条默认预设也照沙箱模式起名，所以 Go 这边不带默认表，预设表必填
模型侧ask_user_question工具，基于ctx.userQuestions实现	interaction/tool-ask-user	需要	feature/interaction/askuser	
与通道无关的一次性审批seam，request返回allowed-once/rejected/cancelled/unavailable	interaction/user-approval	需要	feature/interaction/userapproval tools	
用户交互Service Definition，定义ctx.userQuestions与提供方注册	interaction/user-questions	需要	feature/interaction/userquestions	
后台任务注册表约定，为长时间运行的生产方提供共享id、owner隔离、读取、取消、等待、通知和清理	jobs/jobs	需要	feature/jobs	
ctx.jobs注册表约定的进程本地实现，把每条记录保存在内存中并按kind签发id	jobs/jobs-local	需要	adapter/domainjobs adapter/localjobs	
ctx.jobs的面向模型控制器，提供job_output、job_list和job_kill三个与kind无关的工具	jobs/tool-jobs	需要	feature/jobs/jobstool	
DeepSeek 官方请求的顶层字段扩展注册表，贡献插件各认领一个经声明合并的字段，基础请求序列化后准备当前贡献	llm/deepseek-llm-api-extensions	取形重写	adapter/openaicompat	只取注册表形状：字段归属在登记那一刻定死（Go 没有声明合并），DeepSeek 那套具体字段一个都不带；accept() 那半个事务不做，它唯一的上游用户 session/session-log-deepseek 判了不需要
提供方无关的 LLM 词汇与抽象，注册适配器、捕获重试策略、支持模型发现与流式调用	llm/llm	需要	adapter/openaicompat llm	
DeepSeek chat-completions 适配器，直接fetch+SSE转换为StreamChunk，支持图片文件API与思考模式	llm/llm-deepseek	不需要	—	缺前置：本机文件系统
基于@earendil-works/pi-ai的多提供方通用适配器，支持OpenAI兼容端点与私有网关	llm/llm-pi-ai	需要	adapter/openaicompat	
通过agent/request-error事件应用提供方重试策略，支持normal与always两种模式	llm/llm-retry	需要	feature/llmretry	
向 DeepSeek 官方请求注入存活 Loader 插件包清单（dsh_plugin_packages 字段），用于请求诊断	llm/plugin-package-inventory-deepseek	不需要	—	缺前置：cordis 插件容器 + DeepSeek 官方接口，两个都没有
通过单例ctx.tokenMeter进行回放感知的token测量与上下文占用率投影	llm/token-meter	需要	feature/tokenmeter	缺两角已补：（一）单回合精确用量落在 DeriveTurnUsage——吃一段 turn/start..turn/end 的事件切片，一个字都不估，只加提供方亲口报过的数；对残缺一点都不宽容，少一角就整份不给，一次重试算两次计费尝试，路由表要么每一次尝试都说得清要么整份不给。（二）路由感知的图片计价落在 llm 的图片计价接缝（适配器可选实现，认不得的路由降级成不报价而不是报错）加 feature/tokenmeter 的 priceSurface——按当次请求头那条路由重估图片那一份，SurfaceNode 因此带路由价和固定估价两个数
LSP 能力 seam，抽象四种语义代码导航操作	lsp/lsp	不需要	—	缺前置：无
通用 stdio 语言服务器后端，惰性启动和池化服务器进程	lsp/lsp-stdio	不需要	—	缺前置：本机文件系统、起本机子进程的能力
面向模型的 LSP 工具，通过四种导航操作执行代码定位	lsp/tool-lsp	不需要	—	缺前置：本机文件系统、起本机子进程的能力
MCP客户端桥接插件，连接外部MCP服务器并把工具注册到ctx.tools	mcp/mcp-client	需要	protocol/mcp	
软引导的plan协作状态，提供/plan命令、/plan off命令和经用户评审的exit_plan_mode退出方式	plan/plan-mode	需要	feature/plan/planmode	
按preset组装agent，工具和提示词仅存在一份供所有已加入agent使用	preset/agent-presets	需要	feature/preset/agentpresets	
可组装的agent人设，可遮蔽部署级人设或成为完整系统提示词	preset/persona	需要	feature/preset/persona	
用于包自有运行时不变量检查的可配置注册表服务	runtime-diagnostics/invariants	需要	invariants	
进程沙箱 Service Definition，定义限制词汇和运行时拒绝机制	sandbox/sandbox	不需要	—	缺前置：无
本地沙箱实现，选择平台 runner（bwrap、Landlock、Seatbelt、ACL）	sandbox/sandbox-local	不需要	—	缺前置：起本机子进程的能力、单进程独占（本仓库要多实例并发）
沙箱策略解析的唯一归属位置，管理部署默认和会话覆盖	sandbox/sandbox-policy	不需要	—	缺前置：无
Windows 写入限制沙箱后端，基于受限令牌和 ACL 实现隔离	sandbox/sandbox-windows-acl	不需要	—	缺前置：起本机子进程的能力、单进程独占（本仓库要多实例并发）
为未来创建的live根agent提供三个会话范围内的工具管理持久提醒	schedule/schedule	需要	feature/schedule	
TypeScript客户端SDK以子进程驱动harness，stdio JSON-RPC通讯	sdk/client	取形重写	（未落地）	不缺：子进程驱动运行时这件事本仓库不做。客户端形状留待有外部驱动需求时再取形
DeepSeek Harness SDK运行时共享协议格式，换行分帧JSON-RPC	sdk/protocol	需要	protocol/sdk/sdkprotocol	
stdio JSON-RPC服务器插件使进程外SDK客户端驱动harness agent	sdk/server	需要	protocol/sdk/sdkprotocol protocol/sdk/sdkserver	
Web会话日志ZIP下载控制	session-query/session-log-export	不需要	—	缺前置：桌面 UI 宿主、浏览器运行时（DOM／ESM／React）
会话查询Service Definition，提供精确读取、关系跟踪与过滤	session-query/session-query	需要	feature/sessionquery	
SQLite全文搜索会话查询提供方实现	session-query/session-query-sqlite	取形重写	adapter/datastore/searchstore	已落地：sessionquery.Searcher 的生产实现，索引落在 adapter/datastore 的文档集上，对账、活的盖住落地的、两侧并起来排、游标分页都在。全文匹配不用 FTS5 也不用 tsvector——分词器不切中文；改成折过空白后逐字数子串
经工作区授权的会话查询模型工具	session-query/tool-session-query	需要	feature/sessionquery/querytool	
在模型适配器前与工具正文前为事件溯源会话创建检查点，持久化前一响应与工具结果	session/session-checkpoint-policy	需要	feature/checkpointpolicy	
把规范会话日志增量上传进 DeepSeek 官方请求（dsh_session_log 字段），以持久 delivery-accepted 事件派生接受水位	session/session-log-deepseek	不需要	—	缺前置：DeepSeek 官方接口及其私有请求字段。注意与 llm/deepseek-llm-api-extensions 区分：那个要的是注册表形状，这个是往注册表里塞的一条具体内容
会话持久化能力接缝，定义会话事件存储、加载与列表接口	session/session-persistence	需要	feature/persistence	
仅追加JSONL逻辑日志持久化后端，支持Zstandard压缩与分片打包	session/session-persistence-jsonl	不需要	—	缺前置：本机文件系统
**上游已删。**SQLite持久化后端，存储打包后的assistant分片与delta编码序列	session/session-persistence-sqlite	不需要	—	缺前置：本机文件系统、单进程独占（本仓库要多实例并发）
会话投影Service Definition与驱动注册表，对已提交事件驱动客户端读模型	session/session-projection	需要	sessionlog/projection	
持久投影缓存，把投影单元状态保存为检查点	session/session-projection-cache	需要	feature/projectioncache	
折叠会话日志事件为step计数、轮数、LLM时间、工具时间等数字	session/session-stats	需要	feature/sessionstats	
遥测Service Definition，捕获会话记录传给上报后端	session/session-telemetry	需要	feature/telemetry	
