package	file	line	decision	container	kind	name	ts_signature	declared_go_ref	mapped_go_declarations	mapping	ruling_note
acp/acp	src/index.ts	81	PORTED	AcpConfig	property	sessionListPageSize	sessionListPageSize?: number	acp.Config		PORTED_MEMBER_UNMAPPED	这条线共用的那份 provider/model 路由。DSH 那个 stream 是给测试用的传输替身，Go 侧不需要——这一包的测试直接对着 acp.Bridge 上的方法压，不经过 stdio。
acp/acp	src/index.ts	83	PORTED	AcpConfig	property	stream	stream?: Stream	acp.Config		PORTED_MEMBER_UNMAPPED	这条线共用的那份 provider/model 路由。DSH 那个 stream 是给测试用的传输替身，Go 侧不需要——这一包的测试直接对着 acp.Bridge 上的方法压，不经过 stdio。
acp/acp	src/index.ts	86	GO_NATIVE		const	Config	export const Config: Schema<AcpConfig> = Schema.object({ provider: Schema.string(), model: Schema.string(), sessionListPageSize: Schema.natural().min(1).default(DEFAULT_SESSION_LIST_PAGE_SIZE), }) /**			GO_NATIVE	schemastery 运行期 schema，作用是给 YAML 里那份配置补默认值并做类型校验。Go 里配置是一个结构体，类型由编译器管；装配面缺一样这件事由 acp.New 当场拒。
acp/acp	src/index.ts	97	PORTED		function	apply	export function apply(ctx: Context, config: AcpConfig): void {	acp.Bridge	acp.Bridge [acp/acp/bridge.go:139] type Bridge struct { config Config // mutex 罩着下面这一整块可变状态，也罩着每一条 [sessionRecord] 和 // [inflightPrompt] 上那些可变字段。 // // 那条连接的请求处理器是并发的，所以两次 `session/prompt` 真的会同时进来， // 一次 `session/cancel` 也真的会和一次准入交错——DSH 靠 JS 的单线程免掉了这件事。 mutex sync.Mutex // peer 是 [Install] 交进来的那条通道。 peer Peer // owner 是 [Install] 交进来的那个作用域，这座桥建出来的 agent 挂在它上面。 owner *scope.Scope // notifyCtx 是发通知用的上下文，见 [Bridge.Install] 上那条说明。 notifyCtx context.Context // closed 一置起来就不再接新会话、也不再接新提示词。 closed bool // imagePromptEnabled 是握手那一刻算出来的那句声明，之后每一次准入都照它判。 imagePromptEnabled bool // sessions 是这座桥自己建出来的那些会话。 sessions map[sessionlog.SessionID]*sessionRecord // disposers 是那几条订阅的撤销函数，按装上的次序排。 disposers []func(context.Context) error // quiesceOnce / quiesceErr 让收摊只真的跑一次，之后每次都交回同一个结论。 // // 源: packages/acp/acp/src/index.ts:451-452（`quiescing ??=`） quiesceOnce sync.Once quiesceErr error }	PORTED_TOP_MAPPED	整座桥：五个协议方法、运行时那三条边、审批那条线、以及收摊那条次序敏感的路。DSH 那个 apply 里的闭包状态在 Go 里是 Bridge 的字段，装上去那一步是 acp.Bridge.Install。
acp/acp	src/invariant.ts	13	PORTED		const	name	export const name = 'acp-invariant' /** Service required before the companion can reserve package ownership. */ export const inject = ['invariants'] /**	acp.InvariantPluginName	"acp.InvariantPluginName [acp/acp/invariant.go:17] InvariantPluginName = ""acp-invariant"""	PORTED_TOP_MAPPED	不变量伴生插件名。
acp/acp	src/invariant.ts	15	GO_NATIVE		const	inject	export const inject = ['invariants'] /** const install: InvariantInstaller = () => {}			GO_NATIVE	cordis 服务注入声明，Go 侧不移植 cordis 依赖注入框架。那份依赖在 Go 里是 acp.RegisterInvariants 的显式参数。
acp/acp	src/invariant.ts	28	PORTED		const	apply	export const apply = (ctx: Context): Promise<() => void> =>	acp.RegisterInvariants	acp.RegisterInvariants [acp/acp/invariant.go:29] func(ctx context.Context, registry *invariants.Registry) (func(), error)	PORTED_TOP_MAPPED	把这个包登记进不变量注册表。装进去的检查是空的：这一层是一条传输，它搬的每一条边都归发出那条边的那个包所有，也在那边被检查。登记是为了让「检查过了、结论是无需检查」和「这个包被漏掉了」区分得开。
acp/acp	src/mcp.ts	13	PENDING		class	AcpMcpConfigError	export class AcpMcpConfigError extends Error {			PENDING	
acp/acp	src/mcp.ts	14	PENDING	AcpMcpConfigError	constructor	constructor	constructor(message: string)			PENDING_MEMBER	
acp/acp	src/mcp.ts	26	PENDING		function	mountAcpMcpServers	export async function mountAcpMcpServers( agentCtx: Context, servers: readonly McpServer[], sessionCwd: string, ): Promise<void> {			PENDING	
acp/acp	src/model-control.ts	24	PENDING		class	AcpModelConfigError	export class AcpModelConfigError extends Error {			PENDING	
acp/acp	src/model-control.ts	25	PENDING	AcpModelConfigError	constructor	constructor	constructor(message: string)			PENDING_MEMBER	
acp/acp	src/model-control.ts	32	PENDING		class	AcpModelControl	export class AcpModelControl {			PENDING	
acp/acp	src/model-control.ts	34	PENDING	AcpModelControl	property	selection	readonly selection: ModelSelectionRef			PENDING_MEMBER	
acp/acp	src/model-control.ts	40	PENDING	AcpModelControl	constructor	constructor	constructor( private readonly llm: LlmRuntime, initial: ModelSelection | undefined, )			PENDING_MEMBER	
acp/acp	src/model-control.ts	58	PENDING	AcpModelControl	method	install	install(agentCtx: Context): void			PENDING_MEMBER	
acp/acp	src/model-control.ts	66	PENDING	AcpModelControl	method	snapshot	snapshot(): ModelSelection | undefined			PENDING_MEMBER	
acp/acp	src/model-control.ts	75	PENDING	AcpModelControl	method	pinTurn	pinTurn(turn: number, selection: ModelSelection): void			PENDING_MEMBER	
acp/acp	src/model-control.ts	83	PENDING	AcpModelControl	method	releaseTurn	releaseTurn(turn: number): void			PENDING_MEMBER	
acp/acp	src/model-control.ts	92	PENDING	AcpModelControl	method	options	options(signal?: AbortSignal): Promise<SessionConfigOption[]>			PENDING_MEMBER	
acp/acp	src/model-control.ts	103	PENDING	AcpModelControl	method	set	set(configId: string, value: unknown, signal?: AbortSignal): Promise<SessionConfigOption[]>			PENDING_MEMBER	
acp/acp	src/session.ts	39	PENDING		interface	CreateAcpSessionOptions	export interface CreateAcpSessionOptions extends AcpSessionBuildOptions {			PENDING	
acp/acp	src/session.ts	40	PENDING	CreateAcpSessionOptions	property	sessionId	sessionId: SessionId			PENDING_MEMBER	
acp/acp	src/session.ts	44	PENDING		interface	ResumeAcpSessionOptions	export interface ResumeAcpSessionOptions extends AcpSessionBuildOptions {			PENDING	
acp/acp	src/session.ts	45	PENDING	ResumeAcpSessionOptions	property	sessionId	sessionId: SessionId			PENDING_MEMBER	
acp/acp	src/session.ts	98	PENDING		class	AcpSession	export class AcpSession {			PENDING	
acp/acp	src/session.ts	100	PENDING	AcpSession	property	agent	readonly agent: Agent			PENDING_MEMBER	
acp/acp	src/session.ts	126	PENDING	AcpSession	method	create	static async create(ctx: Context, options: CreateAcpSessionOptions): Promise<AcpSession>			PENDING_MEMBER	
acp/acp	src/session.ts	147	PENDING	AcpSession	method	resume	static async resume(ctx: Context, options: ResumeAcpSessionOptions): Promise<AcpSession>			PENDING_MEMBER	
acp/acp	src/session.ts	179	PENDING	AcpSession	method	owns	owns(agent: Agent): boolean			PENDING_MEMBER	
acp/acp	src/session.ts	188	PENDING	AcpSession	method	ownsSession	ownsSession(session: Session): boolean			PENDING_MEMBER	
acp/acp	src/session.ts	197	PENDING	AcpSession	method	configOptions	configOptions(signal?: AbortSignal): Promise<SessionConfigOption[]>			PENDING_MEMBER	
acp/acp	src/session.ts	209	PENDING	AcpSession	method	setConfig	setConfig(configId: string, value: unknown, signal?: AbortSignal): Promise<SessionConfigOption[]>			PENDING_MEMBER	
acp/acp	src/session.ts	215	PENDING	AcpSession	method	topologyChanged	topologyChanged(): void			PENDING_MEMBER	
acp/acp	src/session.ts	246	PENDING	AcpSession	method	prompt	async prompt( params: PromptRequest, imageEnabled: boolean, requestSignal?: AbortSignal, ): Promise<PromptResponse>			PENDING_MEMBER	
acp/acp	src/session.ts	337	PENDING	AcpSession	method	cancel	cancel(): void			PENDING_MEMBER	
acp/acp	src/session.ts	348	PENDING	AcpSession	method	onSessionEvent	onSessionEvent(session: Session, event: SessionEvent): void			PENDING_MEMBER	
acp/acp	src/session.ts	399	PENDING	AcpSession	method	onInboxClaimed	onInboxClaimed(message: UserMessage, turn: number): void			PENDING_MEMBER	
acp/acp	src/session.ts	411	PENDING	AcpSession	method	onAgentError	onAgentError(turn: number, error: unknown): void			PENDING_MEMBER	
acp/acp	src/session.ts	422	PENDING	AcpSession	method	drainUpdates	drainUpdates(): Promise<void>			PENDING_MEMBER	
acp/acp	src/session.ts	431	PENDING	AcpSession	method	close	close(detail: string): Promise<void>			PENDING_MEMBER	
acp/acp	src/updates.ts	16	PENDING		function	assistantUpdates	export async function assistantUpdates( ctx: Context, session: Session, event: SessionEvent<'assistant/message'>, ): Promise<SessionUpdate[]> {			PENDING	
acp/acp	src/updates.ts	52	PENDING		function	toolCallUpdate	export function toolCallUpdate(event: SessionEvent<'tool/call'>): SessionUpdate {			PENDING	
acp/acp	src/updates.ts	69	PENDING		function	toolResultUpdate	export async function toolResultUpdate( ctx: Context, event: SessionEvent<'tool/result'>, ): Promise<SessionUpdate> {			PENDING	
api/gateway	src/client/index.ts	9	PENDING		reexport-type	TypertGatewayFaultDetails	export type { TypertGatewayFaultDetails } from '../remote-error-codes.ts'			PENDING	
api/gateway	src/client/index.ts	35	PENDING		reexport	RemoteStreamCarrierError	export { RemoteStreamCarrierError } from './stream-client.ts'			PENDING	
api/gateway	src/client/index.ts	36	PENDING		reexport	RemoteJournalStream	export { RemoteJournalStream } from './journal-stream.ts'			PENDING	
api/gateway	src/client/index.ts	37	PENDING		reexport-type	RemoteJournalChange	export type {			PENDING	
api/gateway	src/client/index.ts	37	PENDING		reexport-type	RemoteJournalFrame	export type {			PENDING	
api/gateway	src/client/index.ts	37	PENDING		reexport-type	RemoteJournalStreamOptions	export type {			PENDING	
api/gateway	src/client/index.ts	37	PENDING		reexport-type	RemoteStreamFactory	export type {			PENDING	
api/gateway	src/client/index.ts	43	PENDING		reexport	RemoteStream	export { RemoteStream } from './remote-stream.ts'			PENDING	
api/gateway	src/client/index.ts	44	PENDING		reexport-type	RemoteStreamItem	export type { RemoteStreamItem, RemoteStreamOptions } from './remote-stream.ts'			PENDING	
api/gateway	src/client/index.ts	44	PENDING		reexport-type	RemoteStreamOptions	export type { RemoteStreamItem, RemoteStreamOptions } from './remote-stream.ts'			PENDING	
api/gateway	src/client/index.ts	45	PENDING		reexport	RemoteSnapshotStream	export { RemoteSnapshotStream } from './snapshot-stream.ts'			PENDING	
api/gateway	src/client/index.ts	46	PENDING		reexport-type	RemoteSnapshotStreamOptions	export type { RemoteSnapshotStreamOptions } from './snapshot-stream.ts'			PENDING	
api/gateway	src/client/index.ts	102	PENDING		interface	ClientRemote	export interface ClientRemote extends TypertClientRemote {			PENDING	
api/gateway	src/client/index.ts	108	PENDING	ClientRemote	method	$stream	$stream<Item>(options: RemoteStreamOptions<Item>): RemoteStream<Item>			PENDING_MEMBER	
api/gateway	src/client/index.ts	114	PENDING	ClientRemote	property	$host	readonly $host: RemoteHostFacts			PENDING_MEMBER	
api/gateway	src/client/index.ts	118	PENDING		interface	RemoteHostFacts	export interface RemoteHostFacts {			PENDING	
api/gateway	src/client/index.ts	120	PENDING	RemoteHostFacts	property	home	readonly home: string | undefined			PENDING_MEMBER	
api/gateway	src/client/index.ts	122	PENDING	RemoteHostFacts	property	isLoopback	readonly isLoopback: boolean			PENDING_MEMBER	
api/gateway	src/client/index.ts	133	SKIP		const	inject	export const inject = ['typert', 'connection'] /** export function apply(ctx: Context): void {			SKIP	包级裁决（抄形状）：Host 侧注册业务能力 + Client 侧挂生成的贡献项，是协议形状；实现绑在 cordis 上
api/gateway	src/client/index.ts	139	SKIP		function	apply	export function apply(ctx: Context): void {			SKIP	包级裁决（抄形状）：Host 侧注册业务能力 + Client 侧挂生成的贡献项，是协议形状；实现绑在 cordis 上
api/gateway	src/client/index.ts	753	PENDING		function	isRemoteFailure	export function isRemoteFailure(error: unknown): error is RemoteFailure {			PENDING	
api/gateway	src/client/journal-stream.ts	17	PENDING		type	RemoteJournalFrame	export type RemoteJournalFrame<Entry, Cursor, Page> = | { readonly type: 'opened'; readonly cursor: Cursor; readonly page: Page }			PENDING	
api/gateway	src/client/journal-stream.ts	22	PENDING		type	RemoteJournalChange	export type RemoteJournalChange<Page, Entry> = | {			PENDING	
api/gateway	src/client/journal-stream.ts	40	PENDING		interface	RemoteStreamFactory	export interface RemoteStreamFactory {			PENDING	
api/gateway	src/client/journal-stream.ts	46	PENDING	RemoteStreamFactory	method	$stream	$stream<Item>(options: RemoteStreamOptions<Item>): RemoteStream<Item>			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	50	PENDING		interface	RemoteJournalStreamOptions	export interface RemoteJournalStreamOptions<Page, Entry, Cursor> {			PENDING	
api/gateway	src/client/journal-stream.ts	52	PENDING	RemoteJournalStreamOptions	property	name	readonly name: string			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	54	PENDING	RemoteJournalStreamOptions	property	emptyCursor	readonly emptyCursor: Cursor			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	56	PENDING	RemoteJournalStreamOptions	property	entries	readonly entries: (page: Page) => readonly Entry[]			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	58	PENDING	RemoteJournalStreamOptions	property	hasMore	readonly hasMore: (page: Page) => boolean			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	60	PENDING	RemoteJournalStreamOptions	property	first	readonly first: (entry: Entry) => Cursor			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	62	PENDING	RemoteJournalStreamOptions	property	last	readonly last: (entry: Entry) => Cursor			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	64	PENDING	RemoteJournalStreamOptions	property	compare	readonly compare: (left: Cursor, right: Cursor) => number			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	66	PENDING	RemoteJournalStreamOptions	property	follows	readonly follows: (left: Cursor, right: Cursor) => boolean			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	68	PENDING	RemoteJournalStreamOptions	property	publish	readonly publish: (change: RemoteJournalChange<Page, Entry>) => void			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	70	PENDING	RemoteJournalStreamOptions	property	carrierFailed	readonly carrierFailed?: (error: RemoteStreamCarrierError) => void			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	72	PENDING	RemoteJournalStreamOptions	property	failed	readonly failed: (error: unknown) => void			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	81	PENDING		class	RemoteJournalStream	export abstract class RemoteJournalStream<Page, Entry, Cursor, PageRequest = void> {			PENDING	
api/gateway	src/client/journal-stream.ts	146	PENDING	RemoteJournalStream	method	signal	get signal(): AbortSignal			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	155	PENDING	RemoteJournalStream	method	open	async open(request: PageRequest): Promise<void>			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	177	PENDING	RemoteJournalStream	method	prepend	async prepend(request: PageRequest): Promise<void>			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	204	PENDING	RemoteJournalStream	method	restart	restart(): void			PENDING_MEMBER	
api/gateway	src/client/journal-stream.ts	212	PENDING	RemoteJournalStream	method	dispose	dispose(): Promise<void>			PENDING_MEMBER	
api/gateway	src/client/remote-events.ts	31	PENDING		type	RemoteEventStreamOpener	export type RemoteEventStreamOpener = ( endpoint: string, payload: unknown, signal: AbortSignal, ) => AsyncIterable<unknown>			PENDING	
api/gateway	src/client/remote-events.ts	62	PENDING		class	ClientRemoteEvents	export class ClientRemoteEvents {			PENDING	
api/gateway	src/client/remote-events.ts	72	PENDING	ClientRemoteEvents	constructor	constructor	constructor( private readonly ownerCtx: Context, private readonly connection: ConnectionHandle, private readonly openStream: RemoteEventStreamOpener, )			PENDING_MEMBER	
api/gateway	src/client/remote-events.ts	87	PENDING	ClientRemoteEvents	method	subscribe	subscribe<Event extends TypertRemoteEvent>( callerCtx: Context, event: Event, listener: TypertClientEventListener<Event>, ): () => void			PENDING_MEMBER	
api/gateway	src/client/remote-events.ts	100	PENDING	ClientRemoteEvents	method	dispose	async dispose(): Promise<void>			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	8	PENDING		interface	RemoteStreamItem	export interface RemoteStreamItem<Item> {			PENDING	
api/gateway	src/client/remote-stream.ts	10	PENDING	RemoteStreamItem	property	generation	readonly generation: number			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	12	PENDING	RemoteStreamItem	property	value	readonly value: Item			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	14	PENDING	RemoteStreamItem	property	signal	readonly signal: AbortSignal			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	16	PENDING	RemoteStreamItem	method	accept	accept(): void			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	20	PENDING		interface	RemoteStreamOptions	export interface RemoteStreamOptions<Item> {			PENDING	
api/gateway	src/client/remote-stream.ts	22	PENDING	RemoteStreamOptions	property	name	readonly name: string			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	24	PENDING	RemoteStreamOptions	property	open	readonly open: (signal: AbortSignal) => AsyncIterable<Item>			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	26	PENDING	RemoteStreamOptions	property	ended	readonly ended: (accepted: boolean) => Error			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	28	PENDING	RemoteStreamOptions	property	carrierFailed	readonly carrierFailed?: (error: RemoteStreamCarrierError) => void			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	39	PENDING		class	RemoteStream	export class RemoteStream<Item> implements AsyncIterable<RemoteStreamItem<Item>> {			PENDING	
api/gateway	src/client/remote-stream.ts	51	PENDING	RemoteStream	constructor	constructor	constructor( private readonly connection: Pick<ConnectionHandle, 'generation'>, private readonly options: RemoteStreamOptions<Item>, )			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	57	PENDING	RemoteStream	method	signal	get signal(): AbortSignal			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	62	PENDING	RemoteStream	method	restart	restart(): void			PENDING_MEMBER	
api/gateway	src/client/remote-stream.ts	72	PENDING	RemoteStream	method	dispose	dispose(): Promise<void>			PENDING_MEMBER	
api/gateway	src/client/snapshot-stream.ts	12	PENDING		interface	RemoteSnapshotStreamOptions	export interface RemoteSnapshotStreamOptions<Snapshot, Delta> {			PENDING	
api/gateway	src/client/snapshot-stream.ts	14	PENDING	RemoteSnapshotStreamOptions	property	name	readonly name: string			PENDING_MEMBER	
api/gateway	src/client/snapshot-stream.ts	16	PENDING	RemoteSnapshotStreamOptions	property	isSnapshot	readonly isSnapshot: (value: Snapshot | Delta) => value is Snapshot			PENDING_MEMBER	
api/gateway	src/client/snapshot-stream.ts	18	PENDING	RemoteSnapshotStreamOptions	property	replace	readonly replace: (snapshot: Snapshot) => void			PENDING_MEMBER	
api/gateway	src/client/snapshot-stream.ts	20	PENDING	RemoteSnapshotStreamOptions	property	update	readonly update: (delta: Delta) => void			PENDING_MEMBER	
api/gateway	src/client/snapshot-stream.ts	22	PENDING	RemoteSnapshotStreamOptions	property	failed	readonly failed: (error: unknown) => void			PENDING_MEMBER	
api/gateway	src/client/snapshot-stream.ts	31	PENDING		class	RemoteSnapshotStream	export class RemoteSnapshotStream<Snapshot, Delta> {			PENDING	
api/gateway	src/client/snapshot-stream.ts	40	PENDING	RemoteSnapshotStream	constructor	constructor	constructor( private readonly stream: RemoteStream<Snapshot | Delta>, private readonly options: RemoteSnapshotStreamOptions<Snapshot, Delta>, )			PENDING_MEMBER	
api/gateway	src/client/snapshot-stream.ts	46	PENDING	RemoteSnapshotStream	method	start	start(): void			PENDING_MEMBER	
api/gateway	src/client/snapshot-stream.ts	53	PENDING	RemoteSnapshotStream	method	restart	restart(): void			PENDING_MEMBER	
api/gateway	src/client/snapshot-stream.ts	61	PENDING	RemoteSnapshotStream	method	dispose	async dispose(): Promise<void>			PENDING_MEMBER	
api/gateway	src/client/stream-client.ts	16	PENDING		class	RemoteStreamCarrierError	export class RemoteStreamCarrierError extends Error {			PENDING	
api/gateway	src/client/stream-client.ts	21	PENDING	RemoteStreamCarrierError	constructor	constructor	constructor(message: string, options?: ErrorOptions)			PENDING_MEMBER	
api/gateway	src/client/stream-client.ts	34	PENDING		class	RemoteStreamMuxClient	export class RemoteStreamMuxClient {			PENDING	
api/gateway	src/client/stream-client.ts	45	PENDING	RemoteStreamMuxClient	method	start	start(): void			PENDING_MEMBER	
api/gateway	src/client/stream-client.ts	55	PENDING	RemoteStreamMuxClient	method	reconnect	reconnect(): void			PENDING_MEMBER	
api/gateway	src/client/stream-client.ts	81	PENDING	RemoteStreamMuxClient	property	endpoint	endpoint: string,			PENDING_MEMBER	
api/gateway	src/client/stream-client.ts	82	PENDING	RemoteStreamMuxClient	property	payload	payload: unknown,			PENDING_MEMBER	
api/gateway	src/client/stream-client.ts	83	PENDING	RemoteStreamMuxClient	property	signal	signal: AbortSignal,			PENDING_MEMBER	
api/gateway	src/client/stream-client.ts	127	PENDING	RemoteStreamMuxClient	method	close	async close(): Promise<void>			PENDING_MEMBER	
api/gateway	src/index.ts	15	PENDING		reexport-type	TypertGatewayFaultDetails	export type { TypertGatewayFaultDetails } from './remote-error-codes.ts'			PENDING	
api/gateway	src/index.ts	60	SKIP		reexport-type	InvokeRemoteRequest	export type {			SKIP	包级裁决（抄形状）：Host 侧注册业务能力 + Client 侧挂生成的贡献项，是协议形状；实现绑在 cordis 上
